RANK,NAME,POS,WEEK_1,WEEK_2,WEEK_3,WEEK_4,WEEK_5,WEEK_6,WEEK_7,WEEK_8,WEEK_9,WEEK_10,WEEK_11,WEEK_12,WEEK_13,WEEK_14,WEEK_15,WEEK_16,WEEK_17,AVG,TOTAL
1.0,Josh Allen,QB,28.2,34.5,32.2,25.4,18.3,16.1,16.4,13.5,36.0,29.4,0.0,16.5,30.1,19.3,37.7,32.3,20.3,25.4,406.1
2.0,Kyler Murray,QB,27.3,33.1,24.7,23.1,27.3,28.9,38.1,0.0,37.9,30.9,20.3,8.9,17.4,18.5,34.1,16.4,3.8,24.4,390.7
3.0,Aaron Rodgers,QB,30.8,19.2,24.5,29.6,0.0,5.8,27.3,22.5,28.9,26.4,22.7,25.6,23.5,30.9,18.3,26.1,26.0,24.3,388.3
4.0,Patrick Mahomes II,QB,20.4,27.5,40.0,20.2,30.7,20.6,12.0,36.6,31.5,0.0,22.5,31.3,19.3,21.6,25.9,20.2,0.0,25.4,380.4
5.0,Alvin Kamara,RB,23.7,38.4,44.7,20.9,19.9,0.0,22.8,25.3,15.9,34.8,10.5,6.2,17.7,22.4,18.4,56.2,0.0,25.2,377.8
6.0,Deshaun Watson,QB,21.8,15.7,18.1,20.9,26.9,32.0,24.2,0.0,24.2,14.1,31.4,33.1,20.4,16.6,23.4,26.8,26.8,23.5,376.3
7.0,Russell Wilson,QB,31.8,34.4,36.8,21.9,25.5,0.0,32.9,28.7,24.1,11.9,20.1,14.4,16.0,23.1,13.0,19.9,18.1,23.3,372.8
8.0,Davante Adams,WR,41.6,6.6,0.0,0.0,0.0,12.1,44.6,30.3,33.3,18.6,23.6,18.1,34.1,24.5,11.2,43.2,16.6,25.6,358.4
9.0,Ryan Tannehill,QB,19.4,26.8,13.7,0.0,30.0,29.6,17.3,18.3,14.6,10.8,22.9,19.1,28.6,16.5,37.0,18.3,28.4,22.0,351.4
10.0,Tom Brady,QB,22.5,9.7,23.9,33.5,14.1,14.6,36.9,19.1,5.4,31.8,14.6,23.7,0.0,15.6,23.4,29.9,31.3,21.9,349.9
11.0,Justin Herbert,QB,0.0,23.2,15.7,24.0,27.4,0.0,38.5,23.2,23.4,21.5,27.7,17.4,6.4,16.7,28.0,16.7,33.0,22.9,342.8
12.0,Lamar Jackson,QB,27.5,17.6,14.2,26.0,14.5,28.2,0.0,16.8,18.6,22.5,17.5,0.0,26.7,34.9,30.2,21.3,25.2,22.8,341.8
13.0,Dalvin Cook,RB,21.8,17.1,25.9,28.6,19.9,0.0,0.0,48.6,39.2,15.2,25.0,10.2,23.9,19.0,26.9,16.5,0.0,24.1,337.8
14.0,Derrick Henry,RB,16.1,8.4,27.0,0.0,19.3,40.4,15.2,17.2,6.8,11.9,20.2,38.5,5.9,36.2,25.2,9.8,35.0,20.8,333.1
15.0,Tyreek Hill,WR,15.6,21.8,21.2,16.4,18.3,5.5,17.5,25.8,33.1,0.0,27.0,57.9,14.8,26.1,17.4,10.5,0.0,21.9,328.9
16.0,Stefon Diggs,WR,16.6,29.3,14.9,17.5,20.6,16.6,10.8,15.2,20.8,25.3,0.0,10.9,19.2,29.1,25.7,41.5,14.6,20.5,328.6
