RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
1.0,Jonathan Taylor,383.0,332.0,1811.0,5.5,83.0,30.0,18.0,40.0,51.0,360.0,9.0,2.0,2.0,17.0,865.0,2.6,946.0,2.8,25.0,2.0,93.0,767.0,29.0,373.1,21.9
2.0,Austin Ekeler,300.0,206.0,911.0,4.4,28.0,3.0,12.0,70.0,94.0,647.0,9.2,8.0,3.0,16.0,476.0,2.3,435.0,2.1,13.0,16.0,172.0,731.0,16.0,343.8,21.5
3.0,Najee Harris,401.0,307.0,1200.0,3.9,37.0,8.0,7.0,74.0,94.0,467.0,6.3,3.0,0.0,17.0,525.0,1.7,675.0,2.2,30.0,14.0,219.0,980.0,11.0,300.7,17.7
4.0,Joe Mixon,340.0,292.0,1205.0,4.1,32.0,7.0,13.0,42.0,48.0,314.0,7.5,3.0,1.0,16.0,655.0,2.2,550.0,1.9,20.0,7.0,55.0,697.0,15.0,287.9,18.0
5.0,James Conner,241.0,202.0,752.0,3.7,35.0,4.0,15.0,37.0,39.0,375.0,10.1,3.0,0.0,15.0,331.0,1.6,421.0,2.1,19.0,1.0,145.0,598.0,16.0,257.7,17.2
6.0,Leonard Fournette,264.0,180.0,812.0,4.5,47.0,7.0,8.0,69.0,84.0,454.0,6.6,2.0,0.0,14.0,396.0,2.2,416.0,2.3,11.0,15.0,163.0,623.0,14.0,255.6,18.3
7.0,Ezekiel Elliott,302.0,237.0,1002.0,4.2,47.0,5.0,10.0,47.0,65.0,287.0,6.1,2.0,1.0,17.0,592.0,2.5,410.0,1.7,9.0,14.0,66.0,809.0,14.0,252.1,14.8
8.0,Alvin Kamara,307.0,240.0,898.0,3.7,30.0,4.0,4.0,47.0,67.0,439.0,9.3,5.0,0.0,13.0,549.0,2.3,349.0,1.5,22.0,12.0,87.0,627.0,9.0,234.7,18.1
9.0,Cordarrelle Patterson,222.0,153.0,618.0,4.0,39.0,3.0,6.0,52.0,69.0,548.0,10.5,5.0,0.0,16.0,325.0,2.1,293.0,1.9,7.0,12.0,170.0,473.0,7.0,234.6,14.7
10.0,Antonio Gibson,310.0,258.0,1037.0,4.0,27.0,4.0,7.0,42.0,52.0,294.0,7.0,3.0,4.0,16.0,534.0,2.1,503.0,1.9,19.0,6.0,131.0,604.0,15.0,229.1,14.3
11.0,Aaron Jones,236.0,171.0,799.0,4.7,57.0,8.0,4.0,52.0,65.0,391.0,7.5,6.0,1.0,15.0,409.0,2.4,390.0,2.3,12.0,15.0,90.0,578.0,8.0,229.0,15.3
12.0,Josh Jacobs,281.0,217.0,872.0,4.0,28.0,2.0,9.0,54.0,64.0,348.0,6.4,0.0,2.0,15.0,430.0,2.0,442.0,2.0,20.0,5.0,93.0,625.0,9.0,226.0,15.1
13.0,Nick Chubb,253.0,228.0,1259.0,5.5,70.0,20.0,8.0,20.0,25.0,174.0,8.7,1.0,1.0,14.0,567.0,2.5,692.0,3.0,23.0,1.0,52.0,482.0,11.0,215.3,15.4
14.0,Damien Harris,222.0,202.0,929.0,4.6,64.0,14.0,15.0,18.0,20.0,132.0,7.3,0.0,2.0,15.0,469.0,2.3,461.0,2.3,15.0,2.0,19.0,407.0,15.0,210.1,14.0
15.0,D'Andre Swift,229.0,151.0,617.0,4.1,57.0,7.0,5.0,62.0,78.0,452.0,7.3,2.0,1.0,13.0,385.0,2.5,232.0,1.5,9.0,8.0,122.0,560.0,6.0,208.9,16.1
16.0,Dalvin Cook,298.0,249.0,1159.0,4.7,66.0,14.0,6.0,34.0,49.0,224.0,6.6,0.0,2.0,13.0,671.0,2.7,488.0,2.0,16.0,1.0,53.0,608.0,15.0,206.3,15.9
17.0,Javonte Williams,256.0,203.0,903.0,4.4,49.0,11.0,4.0,43.0,53.0,316.0,7.3,3.0,1.0,17.0,443.0,2.2,460.0,2.3,31.0,7.0,91.0,551.0,10.0,204.9,12.1
18.0,Devin Singletary,238.0,188.0,870.0,4.6,46.0,10.0,7.0,40.0,50.0,228.0,5.7,1.0,0.0,17.0,429.0,2.3,441.0,2.3,13.0,6.0,69.0,718.0,6.0,197.8,11.6
19.0,Darrel Williams,201.0,144.0,558.0,3.9,21.0,1.0,6.0,47.0,57.0,452.0,9.6,2.0,0.0,17.0,342.0,2.4,216.0,1.5,4.0,10.0,81.0,568.0,14.0,196.0,11.5
20.0,David Montgomery,276.0,225.0,849.0,3.8,41.0,7.0,7.0,42.0,51.0,301.0,7.2,0.0,1.0,14.0,431.0,1.9,418.0,1.9,16.0,7.0,52.0,642.0,13.0,196.0,14.0
21.0,Melvin Gordon III,241.0,203.0,918.0,4.5,70.0,8.0,8.0,28.0,38.0,213.0,7.6,2.0,3.0,16.0,462.0,2.3,456.0,2.2,20.0,5.0,36.0,514.0,11.0,195.2,12.2
22.0,Derrick Henry,239.0,219.0,937.0,4.3,76.0,9.0,10.0,18.0,20.0,154.0,8.6,0.0,0.0,8.0,450.0,2.1,487.0,2.2,10.0,2.0,26.0,411.0,9.0,193.3,24.2
23.0,AJ Dillon,224.0,187.0,803.0,4.3,36.0,3.0,5.0,34.0,37.0,313.0,9.2,2.0,1.0,17.0,396.0,2.1,407.0,2.2,17.0,5.0,111.0,476.0,11.0,185.6,10.9
24.0,James Robinson,210.0,164.0,767.0,4.7,58.0,7.0,8.0,31.0,46.0,222.0,7.2,0.0,2.0,14.0,450.0,2.7,317.0,1.9,11.0,2.0,55.0,530.0,10.0,173.9,12.4
25.0,Myles Gaskin,236.0,173.0,612.0,3.5,30.0,3.0,3.0,49.0,63.0,234.0,4.8,4.0,1.0,17.0,364.0,2.1,248.0,1.4,7.0,9.0,66.0,575.0,8.0,173.6,10.2
