RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Travis Kelce,0.248,17.0,110.0,1338.0,12.2,690.0,6.3,648.0,5.9,197.0,1.8,13.0,152.0,30.0,12.0,2.0,5.0,0.0,1.0,316.3,18.6
2.0,George Kittle,0.171,15.0,60.0,765.0,12.8,383.0,6.4,382.0,6.4,137.0,2.3,4.0,86.0,15.0,11.0,0.0,0.0,0.0,1.0,200.5,13.4
3.0,Taysom Hill,0.026000000000000002,16.0,9.0,77.0,8.6,40.0,4.4,37.0,4.1,9.0,1.0,0.0,13.0,3.0,2.0,96.0,575.0,7.0,0.0,145.8,9.1
4.0,T.J. Hockenson,0.22899999999999998,17.0,86.0,914.0,10.6,518.0,6.0,396.0,4.6,144.0,1.7,7.0,129.0,18.0,6.0,0.0,0.0,0.0,1.0,215.4,12.7
5.0,Mark Andrews,0.243,15.0,73.0,847.0,11.6,604.0,8.3,243.0,3.3,68.0,0.9,1.0,113.0,17.0,5.0,3.0,8.0,0.0,0.0,190.5,12.7
6.0,Evan Engram,0.171,17.0,73.0,766.0,10.5,301.0,4.1,465.0,6.4,102.0,1.4,5.0,98.0,8.0,4.0,2.0,13.0,0.0,0.0,176.9,10.4
7.0,Cole Kmet,0.192,17.0,50.0,544.0,10.9,193.0,3.9,351.0,7.0,64.0,1.3,3.0,69.0,10.0,7.0,2.0,9.0,0.0,0.0,147.3,8.7
8.0,Juwan Johnson,0.132,16.0,42.0,508.0,12.1,326.0,7.8,182.0,4.3,63.0,1.5,1.0,65.0,11.0,7.0,0.0,0.0,0.0,0.0,134.8,8.4
9.0,Dawson Knox,0.11699999999999999,15.0,48.0,517.0,10.8,324.0,6.8,193.0,4.0,61.0,1.3,3.0,65.0,9.0,6.0,0.0,0.0,0.0,0.0,135.7,9.0
10.0,Dallas Goedert,0.13699999999999998,12.0,55.0,702.0,12.8,282.0,5.1,420.0,7.6,72.0,1.3,2.0,69.0,8.0,3.0,0.0,0.0,0.0,1.0,141.2,11.8
11.0,Dalton Schultz,0.163,15.0,57.0,577.0,10.1,373.0,6.5,204.0,3.6,58.0,1.0,5.0,89.0,16.0,5.0,0.0,0.0,0.0,1.0,142.7,9.5
12.0,Pat Freiermuth,0.179,15.0,63.0,732.0,11.6,441.0,7.0,291.0,4.6,126.0,2.0,6.0,98.0,10.0,2.0,0.0,0.0,0.0,0.0,148.2,9.9
13.0,David Njoku,0.158,14.0,58.0,628.0,10.8,290.0,5.0,338.0,5.8,82.0,1.4,3.0,80.0,20.0,4.0,2.0,-8.0,0.0,1.0,142.0,10.1
14.0,Gerald Everett,0.127,15.0,58.0,555.0,9.6,229.0,3.9,326.0,5.6,100.0,1.7,5.0,87.0,15.0,4.0,1.0,0.0,0.0,0.0,139.5,9.3
15.0,Tyler Higbee,0.209,16.0,72.0,620.0,8.6,217.0,3.0,403.0,5.6,110.0,1.5,3.0,108.0,16.0,3.0,0.0,0.0,0.0,0.0,152.0,9.5
16.0,Jordan Akins,0.09699999999999999,15.0,37.0,495.0,13.4,225.0,6.1,270.0,7.3,80.0,2.2,1.0,54.0,11.0,5.0,0.0,0.0,0.0,1.0,116.5,7.8
17.0,Tyler Conklin,0.14800000000000002,17.0,58.0,552.0,9.5,258.0,4.4,294.0,5.1,58.0,1.0,2.0,87.0,4.0,3.0,2.0,3.0,0.0,0.0,131.5,7.7
18.0,Noah Fant,0.114,17.0,50.0,486.0,9.7,265.0,5.3,221.0,4.4,31.0,0.6,0.0,63.0,8.0,4.0,0.0,0.0,0.0,0.0,122.6,7.2
19.0,Zach Ertz,0.109,10.0,47.0,406.0,8.6,276.0,5.9,130.0,2.8,22.0,0.5,2.0,69.0,15.0,4.0,0.0,0.0,0.0,0.0,115.6,11.6
20.0,Mike Gesicki,0.09300000000000001,17.0,32.0,362.0,11.3,265.0,8.3,97.0,3.0,22.0,0.7,1.0,52.0,12.0,5.0,0.0,0.0,0.0,0.0,98.2,5.8
21.0,Chigoziem Okonkwo,0.106,16.0,32.0,450.0,14.1,196.0,6.1,254.0,7.9,113.0,3.5,3.0,46.0,6.0,3.0,3.0,2.0,0.0,0.0,97.2,6.1
22.0,Hunter Henry,0.114,16.0,41.0,509.0,12.4,304.0,7.4,205.0,5.0,22.0,0.5,0.0,59.0,7.0,2.0,0.0,0.0,0.0,0.0,103.9,6.5
23.0,Robert Tonyan,0.124,17.0,53.0,470.0,8.8,241.0,4.5,227.0,4.3,33.0,0.6,2.0,67.0,5.0,2.0,0.0,0.0,0.0,0.0,112.0,6.6
24.0,Darren Waller,0.077,9.0,28.0,388.0,13.9,308.0,11.0,80.0,2.9,14.0,0.5,0.0,43.0,11.0,3.0,0.0,0.0,0.0,0.0,84.8,9.4
25.0,Austin Hooper,0.138,17.0,41.0,444.0,10.8,313.0,7.6,131.0,3.2,34.0,0.8,1.0,60.0,6.0,2.0,0.0,0.0,0.0,0.0,97.4,5.7
26.0,Hayden Hurst,0.11699999999999999,14.0,54.0,439.0,8.1,237.0,4.4,202.0,3.7,62.0,1.1,5.0,70.0,9.0,2.0,0.0,0.0,0.0,0.0,109.9,7.9
27.0,Isaiah Likely,0.129,14.0,36.0,373.0,10.4,222.0,6.2,151.0,4.2,42.0,1.2,5.0,60.0,11.0,3.0,0.0,0.0,0.0,0.0,91.3,6.5
28.0,Greg Dulcich,0.102,10.0,33.0,411.0,12.5,256.0,7.8,155.0,4.7,27.0,0.8,1.0,55.0,2.0,2.0,0.0,0.0,0.0,0.0,86.1,8.6
29.0,Will Dissly,0.069,15.0,34.0,349.0,10.3,165.0,4.9,184.0,5.4,46.0,1.4,2.0,38.0,6.0,3.0,0.0,0.0,0.0,0.0,86.9,5.8
30.0,Foster Moreau,0.09699999999999999,14.0,33.0,420.0,12.8,191.0,5.8,231.0,7.0,65.0,2.0,2.0,54.0,5.0,2.0,0.0,2.0,0.0,1.0,85.2,6.1
31.0,Cade Otton,0.09,16.0,42.0,391.0,9.3,217.0,5.2,174.0,4.1,59.0,1.4,2.0,65.0,15.0,2.0,0.0,0.0,0.0,0.0,93.1,5.8
32.0,Jelani Woods,0.069,12.0,25.0,312.0,12.5,172.0,6.9,140.0,5.6,46.0,1.8,1.0,40.0,6.0,3.0,0.0,0.0,0.0,0.0,74.2,6.2
33.0,Kyle Pitts,0.14800000000000002,10.0,28.0,356.0,12.7,230.0,8.2,126.0,4.5,41.0,1.5,0.0,59.0,5.0,2.0,0.0,0.0,0.0,0.0,75.6,7.6
34.0,Brock Wright,0.043,14.0,18.0,216.0,12.0,51.0,2.8,165.0,9.2,11.0,0.6,0.0,24.0,5.0,4.0,0.0,0.0,0.0,0.0,63.6,4.5
35.0,Daniel Bellinger,0.07200000000000001,11.0,30.0,268.0,8.9,124.0,4.1,144.0,4.8,15.0,0.5,0.0,35.0,6.0,2.0,1.0,2.0,1.0,1.0,75.0,6.8
36.0,Colby Parkinson,0.061,14.0,25.0,322.0,12.9,172.0,6.9,150.0,6.0,8.0,0.3,0.0,34.0,5.0,2.0,0.0,0.0,0.0,0.0,69.2,4.9
37.0,Noah Gray,0.055,17.0,28.0,299.0,10.7,117.0,4.2,182.0,6.5,52.0,1.9,2.0,34.0,4.0,1.0,1.0,1.0,1.0,0.0,70.0,4.1
38.0,MyCole Pruitt,0.053,10.0,16.0,150.0,9.4,75.0,4.7,75.0,4.7,4.0,0.3,0.0,21.0,8.0,4.0,0.0,0.0,0.0,0.0,55.0,5.5
39.0,Logan Thomas,0.115,13.0,39.0,323.0,8.3,197.0,5.1,126.0,3.2,32.0,0.8,0.0,61.0,7.0,1.0,0.0,0.0,0.0,0.0,77.3,5.9
40.0,C.J. Uzomah,0.046,14.0,21.0,232.0,11.0,127.0,6.0,105.0,5.0,20.0,1.0,2.0,27.0,1.0,2.0,0.0,0.0,0.0,0.0,56.2,4.0
41.0,Mo Alie-Cox,0.048,14.0,19.0,189.0,9.9,90.0,4.7,99.0,5.2,28.0,1.5,2.0,28.0,4.0,3.0,0.0,0.0,0.0,1.0,53.9,3.9
42.0,Tommy Tremble,0.075,15.0,19.0,174.0,9.2,104.0,5.5,70.0,3.7,18.0,0.9,0.0,32.0,7.0,3.0,0.0,0.0,0.0,1.0,52.4,3.5
