RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Michael Thomas,0.331,16.0,149.0,1725.0,11.6,1142.0,7.7,583.0,3.9,163.0,1.1,5.0,185.0,22.0,9.0,1.0,-9.0,0.0,0.0,374.6,23.4
2.0,Chris Godwin,0.19899999999999998,14.0,86.0,1333.0,15.5,756.0,8.8,577.0,6.7,279.0,3.2,8.0,121.0,13.0,9.0,1.0,8.0,0.0,0.0,276.1,19.7
3.0,Kenny Golladay,0.21100000000000002,16.0,65.0,1190.0,18.3,886.0,13.6,304.0,4.7,71.0,1.1,1.0,116.0,15.0,11.0,0.0,0.0,0.0,1.0,248.0,15.5
4.0,Cooper Kupp,0.21899999999999997,16.0,94.0,1161.0,12.4,623.0,6.6,538.0,5.7,159.0,1.7,9.0,134.0,18.0,10.0,2.0,4.0,0.0,0.0,270.5,16.9
5.0,Julio Jones,0.24,15.0,99.0,1394.0,14.1,1030.0,10.4,364.0,3.7,133.0,1.3,7.0,157.0,16.0,6.0,2.0,-3.0,0.0,0.0,274.1,18.3
6.0,DeVante Parker,0.21100000000000002,16.0,72.0,1202.0,16.7,939.0,13.0,263.0,3.7,91.0,1.3,2.0,128.0,14.0,9.0,0.0,0.0,0.0,0.0,246.2,15.4
7.0,Amari Cooper,0.207,16.0,79.0,1189.0,15.1,911.0,11.5,278.0,3.5,79.0,1.0,4.0,119.0,9.0,8.0,1.0,6.0,0.0,0.0,246.5,15.4
8.0,Mike Evans,0.19399999999999998,13.0,67.0,1157.0,17.3,901.0,13.4,256.0,3.8,107.0,1.6,3.0,118.0,16.0,8.0,0.0,0.0,0.0,0.0,232.7,17.9
9.0,DeAndre Hopkins,0.29,15.0,104.0,1165.0,11.2,778.0,7.5,387.0,3.7,144.0,1.4,9.0,150.0,13.0,7.0,2.0,18.0,0.0,0.0,269.5,18.0
10.0,A.J. Brown,0.196,16.0,52.0,1051.0,20.2,586.0,11.3,465.0,8.9,248.0,4.8,8.0,84.0,8.0,8.0,3.0,60.0,1.0,0.0,217.1,13.6
11.0,Keenan Allen,0.259,16.0,104.0,1199.0,11.5,825.0,7.9,374.0,3.6,107.0,1.0,4.0,149.0,19.0,6.0,3.0,16.0,0.0,0.0,261.5,16.3
12.0,Allen Robinson II,0.272,16.0,98.0,1147.0,11.7,875.0,8.9,272.0,2.8,84.0,0.9,5.0,154.0,20.0,7.0,1.0,2.0,0.0,0.0,254.9,15.9
13.0,Julian Edelman,0.261,16.0,100.0,1117.0,11.2,797.0,8.0,320.0,3.2,75.0,0.8,4.0,153.0,20.0,6.0,8.0,27.0,0.0,1.0,256.3,16.0
14.0,Jarvis Landry,0.267,16.0,83.0,1174.0,14.1,738.0,8.9,436.0,5.3,185.0,2.2,5.0,138.0,20.0,6.0,1.0,10.0,0.0,0.0,237.4,14.8
15.0,Tyler Lockett,0.187,16.0,82.0,1057.0,12.9,749.0,9.1,308.0,3.8,63.0,0.8,0.0,110.0,23.0,8.0,4.0,-5.0,0.0,0.0,235.2,14.7
16.0,DJ Chark Jr.,0.21,15.0,73.0,1008.0,13.8,679.0,9.3,329.0,4.5,123.0,1.7,5.0,118.0,10.0,8.0,2.0,20.0,0.0,0.0,225.8,15.1
17.0,Courtland Sutton,0.258,16.0,72.0,1112.0,15.4,760.0,10.6,352.0,4.9,168.0,2.3,12.0,124.0,18.0,6.0,3.0,17.0,0.0,0.0,222.4,13.9
18.0,Stefon Diggs,0.213,15.0,63.0,1130.0,17.9,828.0,13.1,302.0,4.8,69.0,1.1,2.0,94.0,5.0,6.0,5.0,61.0,0.0,3.0,212.1,14.1
19.0,John Brown,0.237,15.0,72.0,1060.0,14.7,850.0,11.8,210.0,2.9,87.0,1.2,4.0,115.0,8.0,6.0,2.0,7.0,0.0,0.0,219.8,14.7
20.0,Michael Gallup,0.196,14.0,66.0,1107.0,16.8,774.0,11.7,333.0,5.0,151.0,2.3,7.0,113.0,8.0,6.0,0.0,0.0,0.0,0.0,212.7,15.2
21.0,DJ Moore,0.225,15.0,87.0,1175.0,13.5,791.0,9.1,384.0,4.4,146.0,1.7,6.0,135.0,12.0,4.0,6.0,40.0,0.0,1.0,230.5,15.4
22.0,Robert Woods,0.22699999999999998,15.0,90.0,1134.0,12.6,558.0,6.2,576.0,6.4,103.0,1.1,3.0,139.0,9.0,2.0,17.0,115.0,1.0,0.0,232.9,15.5
23.0,Calvin Ridley,0.142,13.0,63.0,866.0,13.7,728.0,11.6,138.0,2.2,39.0,0.6,2.0,93.0,7.0,7.0,2.0,34.0,0.0,0.0,197.0,15.2
24.0,Terry McLaurin,0.2,14.0,58.0,919.0,15.8,702.0,12.1,217.0,3.7,111.0,1.9,4.0,93.0,13.0,7.0,0.0,0.0,0.0,0.0,191.9,13.7
25.0,Tyler Boyd,0.251,16.0,90.0,1046.0,11.6,623.0,6.9,423.0,4.7,114.0,1.3,3.0,148.0,11.0,5.0,4.0,23.0,0.0,2.0,222.9,13.9
26.0,Deebo Samuel,0.17300000000000001,15.0,57.0,802.0,14.1,329.0,5.8,473.0,8.3,162.0,2.8,7.0,81.0,17.0,3.0,14.0,159.0,3.0,1.0,189.1,12.6
27.0,Marvin Jones Jr.,0.165,13.0,62.0,779.0,12.6,673.0,10.9,106.0,1.7,73.0,1.2,2.0,91.0,14.0,9.0,2.0,0.0,0.0,0.0,193.9,14.9
28.0,Tyreek Hill,0.159,12.0,58.0,860.0,14.8,585.0,10.1,275.0,4.7,75.0,1.3,4.0,89.0,7.0,7.0,8.0,23.0,0.0,0.0,188.3,15.7
29.0,Davante Adams,0.23399999999999999,12.0,83.0,997.0,12.0,609.0,7.3,388.0,4.7,81.0,1.0,3.0,127.0,18.0,5.0,0.0,0.0,0.0,1.0,212.7,17.7
30.0,DK Metcalf,0.20199999999999999,16.0,58.0,900.0,15.5,627.0,10.8,273.0,4.7,79.0,1.4,4.0,100.0,17.0,7.0,2.0,11.0,0.0,3.0,187.1,11.7
31.0,Odell Beckham Jr.,0.257,16.0,74.0,1035.0,14.0,709.0,9.6,326.0,4.4,47.0,0.6,2.0,133.0,11.0,4.0,3.0,10.0,0.0,1.0,201.3,12.6
32.0,Emmanuel Sanders,0.20199999999999999,17.0,66.0,869.0,13.2,632.0,9.6,237.0,3.6,56.0,0.8,2.0,97.0,14.0,5.0,0.0,0.0,0.0,0.0,190.3,11.2
33.0,Darius Slayton,0.14300000000000002,14.0,48.0,740.0,15.4,551.0,11.5,189.0,3.9,76.0,1.6,5.0,84.0,6.0,8.0,0.0,0.0,0.0,0.0,170.0,12.1
34.0,Jamison Crowder,0.248,16.0,78.0,833.0,10.7,475.0,6.1,358.0,4.6,117.0,1.5,4.0,122.0,15.0,6.0,1.0,4.0,0.0,0.0,197.7,12.4
35.0,Cole Beasley,0.21899999999999997,15.0,67.0,778.0,11.6,448.0,6.7,330.0,4.9,68.0,1.0,4.0,106.0,8.0,6.0,0.0,0.0,0.0,0.0,184.8,12.3
36.0,Curtis Samuel,0.175,16.0,54.0,627.0,11.6,474.0,8.8,153.0,2.8,44.0,0.8,3.0,105.0,14.0,6.0,19.0,130.0,1.0,0.0,171.7,10.7
37.0,Mike Williams,0.156,15.0,49.0,1001.0,20.4,814.0,16.6,187.0,3.8,72.0,1.5,3.0,90.0,15.0,2.0,1.0,2.0,0.0,0.0,161.3,10.8
38.0,Robbie Chosen,0.195,16.0,52.0,779.0,15.0,586.0,11.3,193.0,3.7,51.0,1.0,1.0,96.0,5.0,5.0,1.0,4.0,0.0,0.0,162.3,10.1
39.0,Chris Conley,0.16,16.0,47.0,775.0,16.5,523.0,11.1,252.0,5.4,126.0,2.7,5.0,90.0,7.0,5.0,0.0,0.0,0.0,0.0,156.5,9.8
40.0,Diontae Johnson,0.19,16.0,59.0,680.0,11.5,375.0,6.4,305.0,5.2,101.0,1.7,9.0,92.0,7.0,5.0,4.0,41.0,0.0,2.0,163.1,10.2
41.0,Golden Tate,0.145,11.0,49.0,676.0,13.8,392.0,8.0,284.0,5.8,148.0,3.0,3.0,85.0,8.0,6.0,1.0,16.0,0.0,1.0,152.2,13.8
42.0,Larry Fitzgerald,0.20600000000000002,16.0,75.0,804.0,10.7,461.0,6.1,343.0,4.6,112.0,1.5,0.0,109.0,14.0,4.0,0.0,0.0,0.0,1.0,177.4,11.1
43.0,Breshad Perriman,0.114,14.0,36.0,645.0,17.9,518.0,14.4,127.0,3.5,35.0,1.0,1.0,69.0,2.0,6.0,2.0,16.0,0.0,0.0,138.1,9.9
44.0,Tyrell Williams,0.13,14.0,42.0,651.0,15.5,461.0,11.0,190.0,4.5,64.0,1.5,1.0,64.0,8.0,6.0,0.0,0.0,0.0,0.0,143.1,10.2
45.0,Marquise Brown,0.16699999999999998,14.0,46.0,584.0,12.7,358.0,7.8,226.0,4.9,56.0,1.2,3.0,71.0,12.0,7.0,0.0,0.0,0.0,0.0,146.4,10.5
46.0,Christian Kirk,0.196,13.0,68.0,709.0,10.4,423.0,6.2,286.0,4.2,60.0,0.9,1.0,108.0,12.0,3.0,10.0,93.0,0.0,0.0,168.2,12.9
47.0,Randall Cobb,0.14400000000000002,15.0,55.0,828.0,15.1,499.0,9.1,329.0,6.0,106.0,1.9,5.0,83.0,8.0,3.0,3.0,11.0,0.0,1.0,154.9,10.3
48.0,Zach Pascal,0.14800000000000002,16.0,41.0,607.0,14.8,372.0,9.1,235.0,5.7,58.0,1.4,3.0,72.0,11.0,5.0,2.0,16.0,0.0,0.0,135.3,8.5
49.0,Mecole Hardman Jr.,0.073,16.0,26.0,538.0,20.7,246.0,9.5,292.0,11.2,89.0,3.4,2.0,41.0,6.0,6.0,4.0,17.0,0.0,2.0,119.5,7.5
50.0,Dede Westbrook,0.179,15.0,66.0,660.0,10.0,343.0,5.2,317.0,4.8,101.0,1.5,3.0,101.0,11.0,3.0,5.0,27.0,0.0,0.0,156.7,10.4
51.0,James Washington,0.165,15.0,44.0,735.0,16.7,550.0,12.5,185.0,4.2,78.0,1.8,1.0,80.0,2.0,3.0,0.0,0.0,0.0,1.0,133.5,8.9
52.0,Sammy Watkins,0.161,14.0,52.0,673.0,12.9,376.0,7.2,297.0,5.7,72.0,1.4,0.0,90.0,6.0,3.0,2.0,12.0,0.0,1.0,138.5,9.9
53.0,William Fuller V,0.13699999999999998,11.0,49.0,670.0,13.7,451.0,9.2,219.0,4.5,43.0,0.9,2.0,71.0,6.0,3.0,0.0,0.0,0.0,0.0,134.0,12.2
54.0,Sterling Shepard,0.141,10.0,57.0,576.0,10.1,397.0,7.0,179.0,3.1,73.0,1.3,4.0,83.0,10.0,3.0,6.0,72.0,0.0,0.0,141.8,14.2
55.0,Hunter Renfrow,0.145,13.0,49.0,605.0,12.3,304.0,6.2,301.0,6.1,157.0,3.2,5.0,71.0,10.0,4.0,0.0,0.0,0.0,0.0,133.5,10.3
56.0,Adam Thielen,0.109,10.0,30.0,418.0,13.9,301.0,10.0,117.0,3.9,52.0,1.7,2.0,48.0,6.0,6.0,4.0,6.0,1.0,0.0,114.4,11.4
57.0,Kenny Stills,0.106,13.0,40.0,561.0,14.0,417.0,10.4,144.0,3.6,23.0,0.6,0.0,55.0,4.0,4.0,0.0,0.0,0.0,0.0,120.1,9.2
58.0,T.Y. Hilton,0.139,10.0,45.0,501.0,11.1,288.0,6.4,213.0,4.7,90.0,2.0,2.0,68.0,8.0,5.0,0.0,0.0,0.0,0.0,125.1,12.5
