Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,Todd Gurley II,LAR,12,28,RB,RB1,1.3
2,Le'Veon Bell,PIT,7,31,RB,RB2,3.1
3,David Johnson,ARI,9,31,RB,RB3,3.3
4,Ezekiel Elliott,DAL,8,28,RB,RB4,4.6
5,Antonio Brown,PIT,7,35,WR,WR1,4.7
6,Alvin Kamara,NO,6,28,RB,RB5,5.7
7,Saquon Barkley,NYG,9,26,RB,RB6,6.9
8,Leonard Fournette,JAX,9,28,RB,RB7,8.8
9,Melvin Gordon III,LAC,8,30,RB,RB8,9.3
10,DeAndre Hopkins,HOU,10,31,WR,WR2,9.5
11,Kareem Hunt,KC,12,27,RB,RB9,11
12,Odell Beckham Jr.,NYG,9,30,WR,WR3,11.5
13,Christian McCaffrey,CAR,4,27,RB,RB10,12.6
14,Julio Jones,ATL,8,34,WR,WR4,14.3
15,Dalvin Cook,MIN,10,27,RB,RB11,15.1
16,Michael Thomas,NO,6,30,WR,WR5,16.2
17,Keenan Allen,LAC,8,31,WR,WR6,17.6
18,Davante Adams,GB,7,30,WR,WR7,18.1
19,Devonta Freeman,ATL,8,31,RB,RB12,19.5
20,Jordan Howard,CHI,5,28,RB,RB13,20
21,A.J. Green,CIN,9,35,WR,WR8,21.3
22,Rob Gronkowski,NE,11,34,TE,TE1,21.5
23,Joe Mixon,CIN,9,27,RB,RB14,22.8
24,Tyreek Hill,KC,12,29,WR,WR9,24
25,Mike Evans,TB,5,29,WR,WR10,25.5
26,Stefon Diggs,MIN,10,29,WR,WR11,25.6
27,T.Y. Hilton,IND,9,33,WR,WR12,27
28,Royce Freeman,DEN,10,27,RB,RB15,27.8
29,Travis Kelce,KC,12,33,TE,TE2,28.2
30,LeSean McCoy,BUF,11,35,RB,RB16,29.8
31,Aaron Rodgers,GB,7,39,QB,QB1,30
32,Alex Collins,BAL,10,28,RB,RB17,30.9
33,Amari Cooper,LV,7,29,WR,WR13,31
34,Kenyan Drake,MIA,11,29,RB,RB18,32
35,Adam Thielen,MIN,10,32,WR,WR14,33.5
36,Larry Fitzgerald,ARI,9,39,WR,WR15,35.2
37,Lamar Miller,HOU,10,32,RB,RB19,36.6
38,Doug Baldwin,SEA,7,34,WR,WR16,38.4
39,Zach Ertz,PHI,9,32,TE,TE3,38.9
40,Jarvis Landry,CLE,11,30,WR,WR17,39
41,JuJu Smith-Schuster,PIT,7,26,WR,WR18,39.4
42,Derrick Henry,TEN,8,29,RB,RB20,41
43,Chris Hogan,NE,11,35,WR,WR19,42.1
44,Jay Ajayi,PHI,9,30,RB,RB21,44
45,Josh Gordon,CLE,11,32,WR,WR20,44.1
46,Golden Tate,DET,6,34,WR,WR21,45.5
47,Deshaun Watson,HOU,10,27,QB,QB2,46.5
48,Mark Ingram II,NO,6,33,RB,RB22,47.2
49,Demaryius Thomas,DEN,10,35,WR,WR22,47.3
50,Marquise Goodwin,SF,11,32,WR,WR23,48.3
51,Jimmy Graham,GB,7,36,TE,TE4,48.4
52,Tom Brady,NE,11,45,QB,QB3,50.9
53,Carlos Hyde,JAX,9,32,RB,RB23,51.6
54,Brandin Cooks,LAR,12,29,WR,WR24,52
55,Marshawn Lynch,LV,7,37,RB,RB24,52.5
56,Allen Robinson II,CHI,5,29,WR,WR25,53.6
57,Dion Lewis,TEN,8,32,RB,RB25,55.1
58,Jamaal Williams,GB,7,28,RB,RB26,56.7
59,Greg Olsen,CAR,4,38,TE,TE5,57.1
60,Emmanuel Sanders,DEN,10,36,WR,WR26,57.9
61,Russell Wilson,SEA,7,34,QB,QB4,61
62,Corey Davis,TEN,8,28,WR,WR27,61.2
63,Marvin Jones Jr.,DET,6,33,WR,WR28,61.9
64,Kerryon Johnson,DET,6,26,RB,RB27,62.9
65,Trey Burton,CHI,5,31,TE,TE6,63.4
66,Rex Burkhead,NE,11,33,RB,RB28,64.9
67,Drew Brees,NO,6,44,QB,QB5,65.9
68,Julian Edelman,NE,11,37,WR,WR29,67.1
69,Chris Carson,SEA,7,28,RB,RB29,67.2
70,Peyton Barber,TB,5,29,RB,RB30,68.5
71,Cam Newton,CAR,4,34,QB,QB6,69.4
72,Evan Engram,NYG,9,28,TE,TE7,69.6
73,Michael Crabtree,BAL,10,35,WR,WR30,70.9
74,William Fuller V,HOU,10,29,WR,WR31,73.2
75,Cooper Kupp,LAR,12,30,WR,WR32,74.7
76,Kyle Rudolph,MIN,10,33,TE,TE8,75.1
77,Chris Thompson,WAS,4,32,RB,RB31,75.3
78,Delanie Walker,TEN,8,38,TE,TE9,76.2
79,Tevin Coleman,ATL,8,30,RB,RB32,76.6
80,Adrian Peterson,WAS,4,38,RB,RB33,79.5
81,Kirk Cousins,MIN,10,34,QB,QB7,80.3
82,Jamison Crowder,WAS,4,30,WR,WR33,81.6
83,Alshon Jeffery,PHI,9,33,WR,WR34,82.7
84,Andrew Luck,IND,9,33,QB,QB8,83.1
85,Sony Michel,NE,11,28,RB,RB34,84.1
86,Tarik Cohen,CHI,5,28,RB,RB35,85.4
87,Robbie Chosen,NYJ,11,30,WR,WR35,85.8
88,Jordan Reed,WAS,4,33,TE,TE10,88
89,Rashaad Penny,SEA,7,27,RB,RB36,88.2
90,Devin Funchess,CAR,4,29,TE,TE11,89.4
91,Carson Wentz,PHI,9,30,QB,QB9,90.6
92,Isaiah Crowell,NYJ,11,30,RB,RB37,91.3
93,Nelson Agholor,PHI,9,30,WR,WR36,92.7
94,Marlon Mack,IND,9,27,RB,RB38,93.4
95,Randall Cobb,GB,7,32,WR,WR37,93.7
96,Jacksonville Jaguars,JAX,9,null,DST,DST1,93.8
97,David Njoku,CLE,11,27,TE,TE12,94.9
98,Matthew Stafford,DET,6,35,QB,QB10,95.1
99,Sammy Watkins,KC,12,30,WR,WR38,95.2
100,Jordy Nelson,LV,7,38,WR,WR39,96.7
101,Aaron Jones,GB,7,28,RB,RB39,96.9
102,Duke Johnson,CLE,11,29,RB,RB40,97.9
103,Jimmy Garoppolo,SF,11,31,QB,QB11,98.1
104,James White,NE,11,31,RB,RB41,99.4
105,Robert Woods,LAR,12,31,WR,WR40,101.2
105,Mike Williams,LAC,8,28,WR,WR41,101.2
107,Los Angeles Rams,LAR,12,null,DST,DST2,102
108,Philip Rivers,LAC,8,41,QB,QB12,104.7
109,Kenny Stills,MIA,11,31,WR,WR42,107.5
110,Alfred Morris,SF,11,34,RB,RB42,107.8
111,Sterling Shepard,NYG,9,30,WR,WR43,107.9
112,Matt Ryan,ATL,8,38,QB,QB13,108.8
113,Bilal Powell,NYJ,11,34,RB,RB43,111.4
114,Minnesota Vikings,MIN,10,null,DST,DST3,111.6
115,Keelan Cole Sr.,JAX,9,30,WR,WR44,112
116,Matt Breida,SF,11,28,RB,RB44,112.2
117,Pierre Garcon,SF,11,36,WR,WR45,112.3
118,Ben Roethlisberger,PIT,7,41,QB,QB14,114.1
119,Ronald Jones,TB,5,25,RB,RB45,115.1
120,Jack Doyle,IND,9,33,TE,TE13,115.5
121,Kelvin Benjamin,BUF,11,32,WR,WR46,118
122,Los Angeles Chargers,LAC,8,null,DST,DST4,118.3
123,Philadelphia Eagles,PHI,9,null,DST,DST5,118.8
124,Patrick Mahomes II,KC,12,27,QB,QB15,119
125,Calvin Ridley,ATL,8,28,WR,WR47,121.2
126,John Brown,BAL,10,33,WR,WR48,122.7
127,Jared Goff,LAR,12,28,QB,QB16,123.2
128,Latavius Murray,MIN,10,33,RB,RB46,127.6
129,Michael Gallup,DAL,8,27,WR,WR49,127.7
130,Baltimore Ravens,BAL,10,null,DST,DST6,128.3
131,Allen Hurns,DAL,8,31,WR,WR50,128.7
132,Houston Texans,HOU,10,null,DST,DST7,129.4
132,Nick Chubb,CLE,11,27,RB,RB47,129.4
134,Corey Clement,PHI,9,28,RB,RB48,129.6
135,Tyler Lockett,SEA,7,30,WR,WR51,131.2
136,Alex Smith,WAS,4,39,QB,QB17,131.5
137,George Kittle,SF,11,29,TE,TE14,132.4
138,DJ Moore,CAR,4,26,WR,WR52,133.8
139,CJ Anderson,CAR,4,32,RB,RB49,134.6
140,Chris Godwin,TB,5,27,WR,WR53,135.3
141,Marcus Mariota,TEN,8,29,QB,QB18,135.8
141,Kenny Golladay,DET,6,29,WR,WR54,135.8
143,Denver Broncos,DEN,10,null,DST,DST8,137.4
144,Ty Montgomery,GB,7,30,WR,WR55,138
145,Chicago Bears,CHI,5,null,DST,DST9,139.9
146,Geronimo Allison,GB,7,29,WR,WR56,140.3
147,Derek Carr,LV,7,32,QB,QB19,140.5
148,Greg Zuerlein,LAR,12,35,K,K1,144.3
149,Anthony Miller,CHI,5,28,WR,WR57,144.5
150,New Orleans Saints,NO,6,null,DST,DST10,144.6
150,Jordan Wilkins,IND,9,29,RB,RB50,144.6
152,Giovani Bernard,CIN,9,31,RB,RB51,145.7
153,Vance McDonald,PIT,7,33,TE,TE15,145.8
154,James Conner,PIT,7,28,RB,RB52,147.6
155,Stephen Gostkowski,NE,11,39,K,K2,148.4
156,Tyler Eifert,CIN,9,32,TE,TE16,148.9
157,Dede Westbrook,JAX,9,29,WR,WR58,149.3
158,Cameron Meredith,NO,6,30,WR,WR59,150.6
159,John Ross,CIN,9,27,WR,WR60,152.3
160,Justin Tucker,BAL,10,33,K,K3,152.5
161,Jameis Winston,TB,5,29,QB,QB20,152.6
162,Austin Hooper,ATL,8,28,TE,TE17,152.9
163,Antonio Callaway,CLE,11,26,WR,WR61,154
164,DeSean Jackson,TB,5,36,WR,WR62,154.1
165,Ricky Seals-Jones,ARI,9,28,TE,TE18,154.9
166,Cameron Brate,TB,5,32,TE,TE19,155.6
167,Kenneth Dixon,BAL,10,29,RB,RB53,156.1
168,Dak Prescott,DAL,8,30,QB,QB21,156.3
168,Eli Manning,NYG,9,42,QB,QB22,156.3
170,Rob Kelley,WAS,4,30,RB,RB54,156.4
170,Samaje Perine,WAS,4,27,RB,RB55,156.4
172,DeVante Parker,MIA,11,30,WR,WR63,156.5
173,Nyheim Hines,IND,9,26,RB,RB56,156.7
174,LeGarrette Blount,DET,6,36,RB,RB57,156.9
175,Mike Gesicki,MIA,11,27,TE,TE20,157.1
176,O.J. Howard,TB,5,28,TE,TE21,157.2
177,Tyrod Taylor,CLE,11,33,QB,QB23,157.3
178,Tavon Austin,DAL,8,33,WR,WR64,157.6
179,Taywan Taylor,TEN,8,28,WR,WR65,157.7
180,Danny Amendola,MIA,11,37,WR,WR66,158
180,Austin Seferian-Jenkins,JAX,9,30,TE,TE22,158
180,D'Onta Foreman,HOU,10,27,RB,RB58,158
183,Devontae Booker,DEN,10,31,RB,RB59,158.2
183,John Kelly Jr.,LAR,12,26,RB,RB60,158.2
185,Brandon Marshall,SEA,7,39,WR,WR67,158.6
186,New England Patriots,NE,11,null,DST,DST11,158.7
186,Paul Richardson,WAS,4,31,WR,WR68,158.7
186,Charles Clay,BUF,11,34,TE,TE23,158.7
186,Doug Martin,LV,7,34,RB,RB61,158.7
190,Eric Ebron,IND,9,30,TE,TE24,159
191,Quincy Enunwa,NYJ,11,31,WR,WR69,159.1
191,Hayden Hurst,BAL,10,29,TE,TE25,159.1
193,Benjamin Watson,NO,6,42,TE,TE26,159.3
194,Mohamed Sanu,ATL,8,33,WR,WR70,159.4
195,Kalen Ballage,MIA,11,27,RB,RB62,159.7
