"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Cooper Kupp","WR","LAR","23.8","36.8","30.6","11.4","16.2","34","37.6","24.5","20.5","23.2","BYE","18.6","26.9","31.3","34.7","21.3","21.5","26.6","25.9","439.5"
"2","Josh Allen","QB","BUF","17.2","17.7","37.2","21","36.5","29.7","BYE","29.5","11.6","21.9","18.2","28.7","11.7","36.2","21.8","31","23.9","23.9","24.6","417.6"
"3","Justin Herbert","QB","LAC","14.4","16.7","30.8","21.3","42.8","12","BYE","15.8","31.6","13","35.3","21.7","26.3","24.9","24","18.9","17.7","28.4","23.3","395.8"
"4","Tom Brady","QB","FA","29.2","29.6","28.7","11.1","37.7","19","24.4","27.2","-","15","20.3","12.2","29.6","30.1","5.8","14.4","27.4","25","22.7","386.7"
"5","Patrick Mahomes II","QB","KC","33.3","25","24.9","32.3","21","25","8.7","15","10.4","36.2","8.5","BYE","13.6","20.3","30.6","22.3","20.9","26.2","22","374.2"
"6","Jonathan Taylor","RB","IND","17.6","6.3","8.2","20.4","31.9","28.8","18","21.2","34","24.6","53.4","19.7","24.3","BYE","23","10.8","18.4","12.5","21.9","373.1"
"7","Matthew Stafford","QB","LAR","24.3","18.2","29.5","20.3","17.5","26.2","27.2","24.2","15.1","11.8","BYE","23","24","23.5","16.5","9.7","16.3","19.5","20.4","346.7"
"8","Davante Adams","WR","LV","10.6","20.1","31.2","12.4","37.6","12.9","19.6","BYE","10.2","14.8","30.5","18.4","-","34.1","16.4","33.4","30.6","11.5","21.5","344.3"
"9","Austin Ekeler","RB","LAC","11.7","22.5","22.7","29.5","32.9","9.5","BYE","24.4","11.2","14.9","41.5","21.9","17.4","16.4","18.2","-","20.2","28.9","21.5","343.8"
"10","Deebo Samuel","WR","SF","31.9","16.1","10.2","35.7","16.1","BYE","21","23.1","11.3","30.3","16.4","20.8","-","12.9","18.9","28.1","17.2","29","21.2","339"
"11","Aaron Rodgers","QB","NYJ","3.3","26.8","19","24.1","20.8","23.7","24.7","15.7","-","11.5","33.5","26.3","-","29.6","23.8","20","20.3","14.2","21.1","337.3"
"12","Dak Prescott","QB","DAL","28.4","8.5","20.1","27","21.7","27.8","BYE","-","19.9","26.3","4.6","25.3","12.2","11.9","10.6","31.3","23","31.8","20.7","330.6"
"13","Justin Jefferson","WR","MIN","12.5","18.5","26.8","20.4","19.4","14","BYE","4.1","17","22.9","37.2","13.3","35.6","20.5","14.7","19.6","11.8","22.1","19.4","330.4"
"14","Joe Burrow","QB","CIN","18.6","13.3","18.6","22.3","20.3","23.8","27.6","21.3","9.4","BYE","9","17.4","18.6","22.2","12.8","38.1","34.8","-","20.5","328.2"
"15","Jalen Hurts","QB","PHI","28.8","21.8","22.5","28.2","23.9","26","23.5","11.2","16.7","19.6","30.8","9.9","-","BYE","28.6","16.7","13","-","21.4","321.2"
"16","Kyler Murray","QB","ARI","34.6","35.1","19.5","22.6","13.7","25.8","22.4","11.1","-","-","-","BYE","30.8","19.4","13.6","21.9","22.9","17.1","22.2","310.5"
