"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Ezekiel Elliott","DAL","63","63","80","63","54","54","38","62","48","bye","46","39","50","32","0","37","48","777","51.8"
"David Montgomery","CHI","29","35","46","53","51","56","0","59","50","0","bye","58","52","40","56","60","62","707","50.5"
"Derrick Henry","TEN","61","44","56","bye","34","45","42","33","29","38","55","46","40","42","43","39","58","705","44.1"
"Dalvin Cook","MIN","30","43","48","49","36","0","bye","46","38","59","52","46","79","54","52","37","0","669","47.8"
"Alvin Kamara","NO","45","41","41","47","58","bye","51","58","37","39","32","31","48","45","40","45","0","658","43.9"
"J.D. McKissic","WAS","32","29","34","39","27","39","33","bye","45","62","32","28","53","41","70","49","28","641","40.1"
"Melvin Gordon III","DEN","37","61","39","56","bye","0","46","36","44","40","34","35","35","28","34","51","51","627","41.8"
"Devin Singletary","BUF","51","34","55","54","46","40","40","28","31","34","bye","25","62","30","39","35","18","622","38.9"
"Josh Jacobs","LV","49","53","35","52","45","bye","32","48","29","43","44","38","0","29","52","32","38","619","41.3"
"James Robinson","JAC","35","38","30","52","43","19","57","bye","50","53","41","63","60","40","36","0","0","617","44.1"
"Kenyan Drake","ARI","58","50","44","37","50","42","34","bye","0","38","33","41","29","44","34","52","29","615","41.0"
"Miles Sanders","PHI","0","55","71","48","50","29","0","0","bye","48","41","43","35","56","69","57","0","602","50.2"
"Mike Davis","CAR","3","24","39","55","54","60","33","46","26","25","52","37","bye","49","37","40","0","580","38.7"
"James Conner","PIT","15","50","53","bye","47","44","66","31","32","64","52","0","0","23","0","42","43","562","43.2"
"David Johnson","HOU","48","56","45","36","45","55","54","bye","7","0","0","0","37","0","55","50","62","550","45.8"
"Kareem Hunt","CLE","37","20","29","26","51","30","47","42","bye","38","36","28","35","39","21","35","35","549","34.3"
"Aaron Jones","GB","42","35","44","33","bye","36","0","0","40","41","30","38","40","47","56","25","32","539","38.5"
"Chase Edmonds","ARI","28","27","21","21","34","23","50","bye","66","36","36","32","37","40","36","16","21","524","32.8"
"Giovani Bernard","CIN","20","42","18","13","16","35","58","47","bye","44","37","38","35","17","38","44","16","518","32.4"
"Jonathan Taylor","IND","27","49","24","33","31","37","bye","26","21","17","46","0","33","34","38","40","55","511","34.1"
"Todd Gurley II","ATL","37","48","35","38","36","46","52","36","44","bye","23","0","22","19","16","27","28","507","33.8"
"Clyde Edwards-Helaire","KC","46","48","52","0","43","49","27","33","25","bye","40","47","0","46","45","0","0","501","41.8"
"Kyle Juszczyk","SF","36","29","38","22","22","22","37","27","23","23","bye","31","14","44","39","30","35","472","29.5"
"J.K. Dobbins","BAL","24","20","24","21","18","30","bye","54","36","29","41","0","21","37","35","35","32","457","30.5"
"Myles Gaskin","MIA","40","49","46","47","42","39","bye","43","0","0","0","0","50","0","0","48","51","455","45.5"
"Ronald Jones II","TB","33","21","35","49","49","36","31","17","16","47","25","21","bye","34","0","0","36","450","32.1"
"Malcolm Brown","LAR","44","37","34","35","26","27","0","57","bye","29","27","25","13","6","16","44","23","443","29.5"
"Jamaal Williams","GB","30","31","19","36","bye","32","55","63","0","31","30","33","21","20","4","0","12","417","29.8"
"Austin Ekeler","LAC","50","47","56","3","0","bye","0","0","0","0","0","60","43","44","41","37","31","412","41.2"
"Nick Chubb","CLE","35","36","34","14","0","0","0","0","bye","28","30","41","36","44","38","47","27","410","34.2"
"C.J. Ham","MIN","12","12","27","33","29","9","bye","22","34","35","35","22","44","40","20","0","32","406","27.1"
"Patrick Ricard","BAL","25","28","11","25","17","29","bye","17","22","19","23","0","30","30","39","39","51","405","27.0"
