"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Christian McCaffrey (SF)","16","272","1,459","5.4","886","3.3","573","2.1","13","25","-54","65","44","9","4","3","3","72","67","83","16","73"
"2","Raheem Mostert (MIA)","15","209","1,012","4.8","620","3.0","392","1.9","15","22","-59","43","30","7","3","2","0","49","25","32","6","59"
"3","Travis Etienne Jr. (JAC)","17","267","1,008","3.8","583","2.2","425","1.6","31","30","-61","62","22","6","3","1","1","62","58","73","2","145"
"4","Kyren Williams (LAR)","12","228","1,144","5.0","791","3.5","353","1.5","20","15","-23","28","26","7","2","1","1","56","32","48","12","46"
"5","Derrick Henry (TEN)","17","280","1,167","4.2","597","2.1","570","2.0","23","27","-62","29","23","5","2","2","2","69","28","36","2","46"
"6","Joe Mixon (CIN)","17","257","1,034","4.0","671","2.6","363","1.4","10","22","-47","14","27","3","1","1","0","44","52","64","13","133"
"7","Breece Hall (NYJ)","17","223","994","4.5","504","2.3","490","2.2","19","31","-72","72","20","7","5","4","3","83","76","95","5","209"
"8","Rachaad White (TB)","17","272","990","3.6","604","2.2","386","1.4","9","17","-40","4","21","3","2","0","0","38","64","70","8","119"
"9","David Montgomery (DET)","14","219","1,015","4.6","549","2.5","466","2.1","17","15","-30","75","22","4","2","2","1","75","16","24","0","29"
"10","Jahmyr Gibbs (DET)","15","182","945","5.2","500","2.7","445","2.4","21","17","-39","27","27","10","4","0","0","36","52","71","7","73"
"11","James Cook (BUF)","17","237","1,122","4.7","649","2.7","473","2.0","8","22","-58","24","33","6","3","1","0","42","44","54","6","97"
"12","Bijan Robinson (ATL)","17","214","976","4.6","568","2.7","408","1.9","15","22","-49","13","30","7","2","0","0","38","58","86","10","100"
"13","Saquon Barkley (NYG)","14","247","962","3.9","509","2.1","453","1.8","12","38","-80","7","26","7","5","0","0","36","41","60","5","33"
"14","Gus Edwards (BAL)","17","198","810","4.1","514","2.6","296","1.5","11","13","-25","7","15","6","1","1","0","42","12","13","0","12"
"15","James Conner (ARI)","13","208","1,040","5.0","631","3.0","409","2.0","27","21","-28","29","31","11","2","1","0","44","27","33","5","77"
"16","Kenneth Walker III (SEA)","15","219","905","4.1","581","2.7","324","1.5","20","25","-63","23","24","7","3","1","0","45","29","37","3","143"
"17","Isiah Pacheco (KC)","14","205","935","4.6","560","2.7","375","1.8","15","14","-32","48","20","6","4","1","0","48","44","49","8","42"
"18","Tony Pollard (DAL)","17","252","1,005","4.0","536","2.1","474","1.9","19","28","-70","21","21","6","1","0","0","31","55","67","12","83"
"19","Jerome Ford (CLE)","17","204","813","4.0","500","2.5","313","1.5","21","34","-91","69","23","5","2","2","2","69","44","63","6","81"
"20","Najee Harris (PIT)","17","255","1,035","4.1","500","2.0","535","2.1","30","29","-66","10","24","8","0","0","0","25","29","38","3","40"
"21","De'Von Achane (MIA)","11","103","800","7.8","486","4.7","314","3.0","13","10","-27","76","22","8","5","5","3","76","27","37","6","83"
"22","Brian Robinson Jr. (WAS)","15","178","733","4.1","420","2.4","313","1.8","16","10","-19","15","19","4","0","0","0","29","36","43","5","112"
"23","D'Andre Swift (PHI)","16","229","1,049","4.6","690","3.0","359","1.6","18","23","-54","7","22","6","3","1","0","43","39","49","4","60"
"24","Alvin Kamara (NO)","13","180","694","3.9","424","2.4","270","1.5","7","15","-25","16","15","0","0","0","0","17","75","86","8","128"
"25","Josh Jacobs (LV)","13","233","805","3.5","512","2.2","293","1.3","10","26","-56","63","9","3","2","2","1","63","37","54","6","82"
