"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Raheem Mostert (MIA)","20","20","1.0","12","74.1%","2","2","100.0%","7","3.5","2","50.0%","0","15","88.7","5.9","96.5%"
"2","Christian McCaffrey (SF)","18","20","1.1","9","75.0%","3","5","60.0%","13","4.3","3","83.3%","0","16","78.3","4.9","97.9%"
"3","Gus Edwards (BAL)","23","37","1.6","12","82.1%","0","0","0%","0","0","0","0.0%","0","17","75.7","4.5","76.9%"
"4","Kyren Williams (LAR)","17","38","2.2","9","68.0%","3","3","100.0%","1","0.3","1","75.0%","0","12","66.9","5.6","93.5%"
"5","David Montgomery (DET)","17","22","1.3","8","54.8%","0","0","0%","0","0","0","0.0%","0","14","50.2","3.6","95.3%"
"6","Derrick Henry (TEN)","15","16","1.1","7","88.2%","0","0","0%","0","0","0","0.0%","0","17","47.7","2.8","99.0%"
"7","Joe Mixon (CIN)","20","26","1.3","6","100.0%","2","3","66.7%","7","3.5","1","100.0%","0","17","47.3","2.8","98.8%"
"8","Kareem Hunt (CLE)","12","16","1.3","7","66.7%","0","0","0%","0","0","0","0.0%","0","15","43.6","2.9","47.1%"
"9","James Conner (ARI)","11","20","1.8","5","78.6%","1","1","100.0%","5","5.0","1","50.0%","0","13","39.5","3.0","93.9%"
"10","Jonathan Taylor (IND)","12","18","1.5","6","52.2%","0","0","0%","0","0","0","0%","0","10","37.8","3.8","97.3%"
"11","Rachaad White (TB)","11","17","1.5","6","91.7%","0","0","0%","0","0","0","0%","0","17","37.7","2.2","97.3%"
"12","De'Von Achane (MIA)","5","13","2.6","3","18.5%","2","2","100.0%","5","2.5","2","50.0%","0","11","33.8","3.1","94.1%"
"13","Najee Harris (PIT)","10","21","2.1","5","71.4%","1","1","100.0%","4","4.0","0","100.0%","0","17","33.5","2.0","91.9%"
"14","D'Onta Foreman (CHI)","7","11","1.6","4","46.7%","1","1","100.0%","5","5.0","1","50.0%","0","9","32.6","3.6","32.8%"
"15","Isiah Pacheco (KC)","9","3","0.3","5","81.8%","1","2","50.0%","-2","-2.0","0","50.0%","0","14","31.1","2.2","95.0%"
"16","Austin Ekeler (LAC)","15","18","1.2","5","83.3%","1","2","50.0%","2","2.0","0","100.0%","1","14","31.0","2.2","99.1%"
"17","Travis Etienne Jr. (JAC)","11","9","0.8","5","78.6%","0","0","0%","0","0","0","0%","0","17","30.9","1.8","99.9%"
"18","Josh Jacobs (LV)","10","8","0.8","5","76.9%","0","1","0.0%","0","0","0","100.0%","0","13","30.8","2.4","95.1%"
"19","Kenneth Walker III (SEA)","15","4","0.3","5","71.4%","0","0","0%","0","0","0","0%","0","15","30.4","2.0","96.8%"
"20","Latavius Murray (BUF)","12","13","1.1","4","60.0%","2","2","100.0%","4","2.0","0","50.0%","0","16","27.7","1.7","14.3%"
"21","Javonte Williams (DEN)","7","6","0.9","2","63.6%","2","2","100.0%","7","3.5","2","100.0%","0","16","27.3","1.7","89.3%"
"22","Jerome Ford (CLE)","4","11","2.8","3","22.2%","1","1","100.0%","3","3.0","1","100.0%","0","17","26.4","1.6","82.9%"
"23","Saquon Barkley (NYG)","6","6","1.0","3","85.7%","1","1","100.0%","5","5.0","1","100.0%","0","14","26.1","1.9","100.0%"
"24","D'Andre Swift (PHI)","14","17","1.2","4","77.8%","0","0","0%","0","0","0","0%","0","16","25.7","1.6","96.7%"
"25","Jahmyr Gibbs (DET)","10","14","1.4","4","32.3%","0","1","0.0%","0","0","0","100.0%","0","15","25.4","1.7","98.9%"
