"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Rachaad White","TB","54","51","43","50","bye","44","55","56","53","46","57","52","54","57","50","50","41","48","861","50.6"
"Travis Etienne Jr.","JAC","56","48","52","56","73","51","49","63","bye","35","47","47","43","59","43","48","39","47","856","50.4"
"Tony Pollard","DAL","37","56","70","37","34","51","bye","42","58","54","45","41","69","59","41","46","55","41","836","49.2"
"Christian McCaffrey","SF","58","57","51","47","52","36","53","57","bye","47","52","51","52","48","43","70","38","0","812","50.8"
"Bijan Robinson","ATL","33","59","54","44","47","64","11","50","42","53","bye","39","51","56","30","48","45","45","771","45.4"
"Joe Mixon","CIN","35","47","58","42","63","38","bye","47","51","47","39","28","52","38","49","38","45","35","752","44.2"
"Saquon Barkley","NYG","45","66","0","0","0","60","57","67","47","35","50","42","bye","48","31","56","66","47","717","51.2"
"Chuba Hubbard","CAR","28","22","27","39","34","53","bye","45","46","30","29","47","47","62","48","42","38","42","679","39.9"
"Kyren Williams","LAR","53","76","55","59","47","47","0","0","0","bye","0","41","60","69","58","55","58","0","678","56.5"
"Breece Hall","NYJ","17","16","31","26","34","43","bye","41","49","46","36","38","46","42","23","69","52","58","667","39.2"
"James Cook","BUF","41","46","42","23","37","30","37","46","32","25","35","41","bye","34","38","41","38","48","634","37.3"
"Austin Ekeler","LAC","41","0","0","0","bye","50","40","46","39","50","46","53","35","49","26","45","47","63","630","45.0"
"D'Andre Swift","PHI","19","58","43","45","49","40","49","44","40","bye","36","42","30","28","41","43","23","0","630","39.4"
"Devin Singletary","HOU","16","30","22","25","17","34","bye","23","54","61","57","49","31","32","58","33","38","49","629","37.0"
"Jerome Ford","CLE","30","43","40","43","bye","38","32","26","47","50","37","51","36","43","35","35","24","19","629","37.0"
"Josh Jacobs","LV","47","29","59","51","54","57","43","35","47","53","47","44","bye","34","0","0","0","0","600","46.2"
"Jahmyr Gibbs","DET","19","32","42","28","0","0","65","60","bye","38","35","60","26","41","32","46","43","29","596","39.7"
"Alexander Mattison","MIN","47","44","66","33","37","45","37","44","42","33","48","31","bye","23","0","5","21","23","579","36.2"
"Najee Harris","PIT","33","31","31","29","37","bye","34","35","38","33","33","38","36","40","20","26","38","37","569","33.5"
"Isiah Pacheco","KC","31","34","32","42","39","45","36","33","41","bye","48","47","47","0","0","43","50","0","568","40.6"
"Derrick Henry","TEN","30","46","18","39","37","29","bye","44","36","27","25","34","34","34","34","32","23","36","558","32.8"
"Alvin Kamara","NO","0","0","0","49","45","66","66","38","31","51","bye","46","39","28","32","44","23","0","558","42.9"
"Tyjae Spears","TEN","34","24","27","35","31","31","bye","30","44","38","18","21","57","47","33","37","34","17","558","32.8"
"Raheem Mostert","MIA","49","46","37","28","32","41","26","43","35","bye","55","42","23","46","33","19","0","0","555","37.0"
"Ezekiel Elliott","NE","28","22","27","22","25","23","21","22","25","23","bye","15","44","52","46","48","43","53","539","31.7"
"James Conner","ARI","52","47","39","44","12","0","0","0","0","41","42","30","52","bye","36","36","50","52","533","41.0"
"Zack Moss","IND","0","56","64","53","53","39","35","28","13","9","bye","30","67","54","19","0","0","11","531","37.9"
"Jaylen Warren","PIT","25","23","28","29","32","bye","27","33","26","33","26","34","26","37","40","34","39","27","519","30.5"
"Kenneth Walker III","SEA","32","44","38","39","bye","56","48","24","24","39","7","0","0","33","34","36","21","27","502","33.5"
"Brian Robinson Jr.","WAS","43","38","20","43","25","27","34","35","44","31","63","35","12","bye","0","0","25","21","496","33.1"
"Kyle Juszczyk","SF","42","24","42","36","28","34","22","22","bye","38","25","28","22","23","28","28","39","14","495","29.1"
"AJ Dillon","GB","29","34","41","38","37","bye","36","35","29","34","52","29","40","36","0","12","12","0","494","32.9"
"Javonte Williams","DEN","29","30","26","8","0","18","31","45","bye","39","27","47","39","40","31","27","31","25","493","30.8"
"Rhamondre Stevenson","NE","58","54","47","35","27","39","39","31","40","46","bye","53","17","0","0","0","0","0","486","40.5"
"Zach Charbonnet","SEA","12","19","32","13","bye","18","0","34","27","42","55","49","42","25","27","26","28","29","478","29.9"
"Antonio Gibson","WAS","25","35","33","30","38","20","26","37","34","29","0","36","31","bye","27","27","20","25","473","29.6"
"Gus Edwards","BAL","15","32","32","40","30","44","30","34","14","28","25","19","bye","20","28","29","31","19","470","27.6"
"David Montgomery","DET","55","30","0","53","45","18","0","0","bye","25","25","23","36","23","34","31","27","28","453","32.4"
"Patrick Ricard","BAL","28","25","19","23","26","23","24","35","23","32","24","31","bye","23","37","28","30","12","443","26.1"
"Kenneth Gainwell","PHI","41","0","37","27","30","29","23","19","23","bye","17","23","39","25","28","30","26","25","442","27.6"
"Justice Hill","BAL","19","43","0","7","39","27","30","31","48","14","17","20","bye","30","18","42","20","31","436","27.3"
"Alec Ingold","MIA","30","38","25","20","19","28","12","25","27","bye","34","20","20","29","19","28","22","17","413","24.3"
"Miles Sanders","CAR","44","37","51","31","33","0","bye","12","18","23","27","27","23","17","18","24","14","7","406","25.4"
"Roschon Johnson","CHI","29","22","23","16","6","0","0","24","20","30","25","52","bye","20","36","32","36","24","395","26.3"
"Joshua Kelley","LAC","39","54","48","39","bye","20","23","15","20","22","19","13","26","7","15","8","6","18","392","23.1"
"Jonathan Taylor","IND","0","0","0","0","10","33","35","43","45","50","bye","42","0","0","0","42","35","51","386","38.6"
"Samaje Perine","DEN","29","33","19","22","38","9","15","17","bye","25","20","18","12","14","25","24","17","23","360","21.2"
"Tyler Allgeier","ATL","29","36","20","15","34","23","33","15","24","19","bye","18","11","15","26","13","11","18","360","21.2"
"Khalil Herbert","CHI","27","32","28","56","42","0","0","0","0","0","32","15","bye","12","17","36","37","23","357","29.8"
"Aaron Jones","GB","28","0","0","20","0","bye","23","35","41","38","15","0","0","0","29","34","42","49","354","32.2"
"Latavius Murray","BUF","16","18","17","19","11","30","32","23","26","28","24","42","bye","25","14","7","19","0","351","21.9"
"Kareem Hunt","CLE","0","0","14","15","bye","28","19","27","21","28","33","19","25","28","22","31","22","7","339","22.6"
"Jamaal Williams","NO","49","18","0","0","0","0","20","15","27","15","bye","20","22","23","29","13","40","33","324","24.9"
"Ty Chandler","MIN","11","7","12","0","0","0","3","1","0","32","23","18","bye","40","55","36","30","39","307","23.6"
"De'Von Achane","MIA","0","6","30","39","26","0","0","0","0","bye","3","0","37","33","24","36","33","33","300","27.3"
"Dameon Pierce","HOU","36","38","30","42","34","21","bye","25","0","0","0","11","26","8","4","11","12","0","298","22.9"
"Emari Demercado","ARI","3","8","11","25","44","33","53","42","0","0","0","14","2","bye","18","23","9","7","292","20.9"
