"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","272","1,459","5.4","72","19","14","67","83","564","8.4","7","2","16","391.3","24.5","97.9%"
"2","Breece Hall (NYJ)","223","994","4.5","83","19","5","76","95","591","7.8","4","0","17","290.5","17.1","98.0%"
"3","Travis Etienne Jr. (JAC)","267","1,008","3.8","62","11","11","58","73","476","8.2","1","0","17","282.4","16.6","99.9%"
"4","Rachaad White (TB)","272","990","3.6","38","5","6","64","70","549","8.6","3","2","17","267.9","15.8","97.3%"
"5","Raheem Mostert (MIA)","209","1,012","4.8","49","12","18","25","32","175","7.0","3","1","15","267.7","17.8","96.5%"
"6","Joe Mixon (CIN)","257","1,034","4.0","44","5","9","52","64","376","7.2","3","0","17","267.0","15.7","98.8%"
"7","Kyren Williams (LAR)","228","1,144","5.0","56","11","12","32","48","206","6.4","3","2","12","255.0","21.3","93.5%"
"8","Derrick Henry (TEN)","280","1,167","4.2","69","11","12","28","36","214","7.6","0","0","17","246.7","14.5","99.0%"
"9","Bijan Robinson (ATL)","214","976","4.6","38","9","4","58","86","487","8.4","4","3","17","246.3","14.5","99.6%"
"10","Jahmyr Gibbs (DET)","182","945","5.2","36","14","10","52","71","316","6.1","1","1","15","242.1","16.1","98.9%"
"11","Alvin Kamara (NO)","180","694","3.9","17","0","5","75","86","466","6.2","1","0","13","233.0","17.9","98.6%"
"12","James Cook (BUF)","237","1,122","4.7","42","10","2","44","54","445","10.1","4","2","17","232.7","13.7","96.7%"
"13","Saquon Barkley (NYG)","247","962","3.9","36","12","6","41","60","280","6.8","4","2","14","223.2","15.9","100.0%"
"14","Tony Pollard (DAL)","252","1,005","4.0","31","7","6","55","67","311","5.7","0","1","17","222.6","13.1","99.0%"
"15","Isiah Pacheco (KC)","205","935","4.6","48","11","7","44","49","244","5.5","2","1","14","213.9","15.3","95.0%"
"16","Jerome Ford (CLE)","204","813","4.0","69","11","4","44","63","319","7.3","5","1","17","211.2","12.4","82.9%"
"17","David Montgomery (DET)","219","1,015","4.6","75","9","13","16","24","117","7.3","0","1","14","207.2","14.8","95.3%"
"18","James Conner (ARI)","208","1,040","5.0","44","14","7","27","33","165","6.1","2","0","13","201.5","15.5","93.9%"
"19","Kenneth Walker III (SEA)","219","905","4.1","45","11","8","29","37","259","8.9","1","0","15","199.4","13.3","96.8%"
"20","D'Andre Swift (PHI)","229","1,049","4.6","43","10","5","39","49","214","5.5","1","1","16","199.3","12.5","96.7%"
"21","Brian Robinson Jr. (WAS)","178","733","4.1","29","4","5","36","43","368","10.2","4","2","15","198.1","13.2","83.8%"
"22","Jaylen Warren (PIT)","149","784","5.3","74","9","4","61","74","370","6.1","0","2","17","196.4","11.6","81.7%"
"23","Najee Harris (PIT)","255","1,035","4.1","25","8","8","29","38","170","5.9","0","1","17","195.5","11.5","91.9%"
"24","De'Von Achane (MIA)","103","800","7.8","76","21","8","27","37","197","7.3","3","1","11","190.7","17.3","94.1%"
"25","Gus Edwards (BAL)","198","810","4.1","42","8","13","12","13","180","15.0","0","2","17","187.0","11.0","76.9%"
"26","Austin Ekeler (LAC)","179","628","3.5","55","7","5","51","74","436","8.5","1","4","14","185.4","13.2","99.1%"
"27","Chuba Hubbard (CAR)","238","902","3.8","22","4","5","39","44","233","6.0","0","0","17","182.5","10.7","79.0%"
"28","Josh Jacobs (LV)","233","805","3.5","63","8","6","37","54","296","8.0","0","1","13","181.1","13.9","95.1%"
"29","Javonte Williams (DEN)","217","774","3.6","21","2","3","47","58","228","4.9","2","1","16","179.2","11.2","89.3%"
"30","Ezekiel Elliott (NE)","184","642","3.5","17","0","3","51","65","313","6.1","2","1","17","174.5","10.3","82.2%"
"31","Zack Moss (IND)","183","794","4.3","56","11","5","27","37","192","7.1","2","0","14","169.6","12.1","66.8%"
"32","Devin Singletary (HOU)","216","898","4.2","24","3","4","30","38","193","6.4","0","0","17","167.3","9.8","80.7%"
"33","Jonathan Taylor (IND)","169","741","4.4","49","8","7","19","23","153","8.1","1","0","10","156.4","15.6","97.3%"
"34","Tyjae Spears (TEN)","100","453","4.5","23","3","2","52","70","385","7.4","1","0","17","153.8","9.0","43.2%"
"35","Rhamondre Stevenson (NE)","156","619","4.0","64","4","4","38","51","238","6.3","0","1","12","145.7","12.1","78.2%"
"36","Tyler Allgeier (ATL)","186","683","3.7","31","3","4","18","23","193","10.7","1","0","17","137.6","8.1","41.6%"
"37","Aaron Jones (GB)","142","656","4.6","39","4","2","30","43","233","7.8","1","1","11","134.9","12.3","94.5%"
"38","Alexander Mattison (MIN)","180","700","3.9","21","1","0","30","44","192","6.4","3","2","16","133.2","8.3","74.1%"
"39","Antonio Gibson (WAS)","65","265","4.1","16","0","1","48","59","389","8.1","2","2","16","127.4","8.0","55.0%"
