"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Travis Kelce (KC)","16","103","1,336","13.0","767","7.4","767","7.4","569","5.5","152","1.5","7","150","26.6%","110","7","14","56","18","6","2","0","43"
"2","George Kittle (SF)","16","88","1,377","15.6","507","5.8","507","5.8","870","9.9","253","2.9","9","136","26.4%","93","5","9","50","20","10","6","4","85"
"3","Zach Ertz (ARI)","16","116","1,163","10.0","810","7.0","810","7.0","353","3.0","98","0.8","3","156","26.4%","123","5","12","54","13","1","0","0","34"
"4","Eric Ebron (FA)","16","66","750","11.4","500","7.6","500","7.6","250","3.8","53","0.8","0","110","17.4%","79","9","11","33","7","1","1","1","53"
"5","Jared Cook (FA)","16","68","896","13.2","553","8.1","553","8.1","343","5.0","88","1.3","4","101","19.1%","77","9","7","39","15","5","1","0","45"
"6","Trey Burton (FA)","16","54","569","10.5","379","7.0","379","7.0","190","3.5","32","0.6","1","76","15.1%","57","3","7","21","7","2","1","0","47"
"7","Austin Hooper (LV)","16","71","660","9.3","423","6.0","423","6.0","237","3.3","56","0.8","4","88","14.6%","75","4","6","24","7","3","0","0","36"
"8","David Njoku (CLE)","16","56","639","11.4","333","5.9","333","5.9","306","5.5","174","3.1","6","88","15.8%","62","6","6","23","9","2","2","1","66"
"9","Kyle Rudolph (FA)","16","64","634","9.9","389","6.1","389","6.1","245","3.8","59","0.9","1","82","13.9%","66","1","7","26","6","1","1","0","44"
"10","O.J. Howard (LV)","10","34","565","16.6","356","10.5","356","10.5","209","6.1","98","2.9","1","48","7.8%","35","1","3","25","11","3","1","1","75"
"11","Rob Gronkowski (FA)","13","47","682","14.5","500","10.6","500","10.6","182","3.9","80","1.7","1","72","12.9%","49","3","2","31","8","4","1","0","42"
"12","Vance McDonald (FA)","15","50","610","12.2","223","4.5","223","4.5","387","7.7","195","3.9","10","72","10.7%","54","4","5","25","6","3","2","1","75"
"13","Evan Engram (JAC)","11","45","577","12.8","189","4.2","189","4.2","388","8.6","109","2.4","1","64","11.1%","48","3","5","18","8","6","2","2","54"
"14","Jimmy Graham (NO)","16","55","636","11.6","375","6.8","375","6.8","261","4.7","58","1.1","2","89","14.5%","60","3","5","29","7","2","1","1","54"
