"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Tyreek Hill (MIA)","16","87","1,479","17.0","952","10.9","952","10.9","527","6.1","185","2.1","4","137","27.1%","94","6","9","50","27","16","8","4","75"
"2","Antonio Brown (FA)","15","104","1,297","12.5","812","7.8","812","7.8","485","4.7","129","1.2","5","168","24.9%","107","3","12","48","17","8","6","2","78"
"3","Davante Adams (LV)","15","111","1,386","12.5","911","8.2","911","8.2","475","4.3","90","0.8","4","169","27.5%","116","5","15","53","18","8","5","2","57"
"4","DeAndre Hopkins (TEN)","16","115","1,572","13.7","1,185","10.3","1,185","10.3","387","3.4","84","0.7","5","163","33.0%","121","2","10","66","23","9","4","0","49"
"5","Julio Jones (FA)","16","113","1,677","14.8","1,229","10.9","1,229","10.9","448","4.0","110","1.0","3","170","28.1%","123","9","13","78","24","10","2","1","58"
"6","Mike Evans (TB)","16","86","1,524","17.7","1,235","14.4","1,235","14.4","289","3.4","70","0.8","0","138","22.3%","95","7","6","62","26","11","6","4","72"
"7","Adam Thielen (CAR)","16","113","1,373","12.2","957","8.5","957","8.5","416","3.7","85","0.8","3","153","25.8%","119","3","13","56","17","7","3","1","68"
"8","Michael Thomas (NO)","16","125","1,405","11.2","891","7.1","891","7.1","514","4.1","181","1.4","6","147","28.8%","129","3","21","53","17","8","2","1","72"
"9","JuJu Smith-Schuster (NE)","16","111","1,426","12.8","778","7.0","778","7.0","648","5.8","171","1.5","7","166","24.6%","119","6","16","48","18","7","5","3","97"
"10","Robert Woods (HOU)","16","86","1,219","14.2","799","9.3","799","9.3","420","4.9","124","1.4","2","130","23.9%","89","2","6","54","20","7","0","0","39"
"11","Tyler Lockett (SEA)","16","57","965","16.9","752","13.2","752","13.2","213","3.7","31","0.5","0","70","12.4%","57","0","4","36","17","9","6","3","52"
"12","Stefon Diggs (BUF)","15","102","1,021","10.0","573","5.6","573","5.6","448","4.4","104","1.0","4","149","25.2%","106","3","9","39","13","5","2","1","75"
"13","Brandin Cooks (DAL)","16","80","1,204","15.1","858","10.7","858","10.7","346","4.3","83","1.0","4","117","21.5%","80","0","9","50","22","7","4","1","57"
"14","Keenan Allen (LAC)","16","97","1,196","12.3","793","8.2","793","8.2","403","4.2","111","1.1","3","136","26.9%","102","4","9","58","13","2","1","1","54"
"15","T.Y. Hilton (FA)","14","76","1,270","16.7","815","10.7","815","10.7","455","6.0","101","1.3","4","120","18.9%","82","4","7","43","22","12","6","3","68"
"16","Odell Beckham Jr. (BAL)","12","77","1,052","13.7","747","9.7","747","9.7","305","4.0","105","1.4","6","124","21.6%","81","4","7","47","17","8","3","1","51"
"17","Tyler Boyd (CIN)","14","76","1,028","13.5","610","8.0","610","8.0","418","5.5","94","1.2","1","108","20.4%","82","5","6","43","21","4","1","0","49"
"18","Calvin Ridley (JAC)","16","64","821","12.8","457","7.1","457","7.1","364","5.7","59","0.9","0","92","15.2%","74","10","5","31","11","6","4","3","75"
"19","Amari Cooper (CLE)","15","75","1,005","13.4","590","7.9","590","7.9","415","5.5","106","1.4","2","107","20.2%","81","6","7","43","10","6","3","2","90"
"20","Mike Williams (LAC)","16","43","664","15.4","546","12.7","546","12.7","118","2.7","46","1.1","5","66","13.0%","46","2","7","29","11","4","2","1","55"
"21","Kenny Golladay (FA)","15","70","1,063","15.2","713","10.2","713","10.2","350","5.0","109","1.6","6","119","21.2%","77","4","6","48","19","6","3","1","60"
"22","Jarvis Landry (FA)","16","81","976","12.0","702","8.7","702","8.7","274","3.4","65","0.8","3","149","26.8%","92","11","9","39","13","4","2","1","51"
"23","Julian Edelman (FA)","12","74","850","11.5","502","6.8","502","6.8","348","4.7","89","1.2","4","108","19.4%","82","8","9","35","12","5","0","0","36"
"24","Emmanuel Sanders (FA)","12","71","868","12.2","571","8.0","571","8.0","297","4.2","116","1.6","6","98","17.4%","75","3","6","32","13","7","4","1","64"
"25","Chris Godwin (TB)","16","59","842","14.3","597","10.1","597","10.1","245","4.2","54","0.9","2","95","15.3%","62","3","10","45","10","2","1","0","48"
"26","Alshon Jeffery (FA)","13","65","843","13.0","571","8.8","571","8.8","272","4.2","112","1.7","3","92","15.5%","68","3","8","39","9","5","2","2","52"
"27","Corey Davis (NYJ)","16","65","891","13.7","624","9.6","624","9.6","267","4.1","119","1.8","5","112","26.4%","73","6","7","40","15","2","2","1","51"
"28","Larry Fitzgerald (FA)","16","69","734","10.6","529","7.7","529","7.7","205","3.0","74","1.1","3","112","23.7%","73","2","8","33","8","2","0","0","37"
"29","Sterling Shepard (NYG)","16","66","872","13.2","563","8.5","563","8.5","309","4.7","53","0.8","1","107","18.6%","72","5","7","34","12","5","3","3","58"
"30","Mohamed Sanu Sr. (FA)","16","66","838","12.7","437","6.6","437","6.6","401","6.1","115","1.7","4","94","15.6%","71","3","2","39","7","7","2","0","44"
"31","Adam Humphries (FA)","16","76","816","10.7","393","5.2","393","5.2","423","5.6","64","0.8","7","105","17.0%","82","5","6","33","7","3","1","1","51"
"32","DeSean Jackson (FA)","12","41","774","18.9","593","14.5","593","14.5","181","4.4","35","0.9","1","74","12.0%","44","2","1","26","13","7","5","3","75"
"33","Zay Jones (JAC)","16","56","652","11.6","510","9.1","510","9.1","142","2.5","44","0.8","1","102","21.3%","61","3","11","29","7","3","1","1","57"
"34","Golden Tate (FA)","15","74","795","10.7","368","5.0","368","5.0","427","5.8","178","2.4","15","113","20.1%","82","7","4","26","9","5","2","1","67"
"35","Dede Westbrook (FA)","16","66","717","10.9","355","5.4","355","5.4","362","5.5","132","2.0","5","101","19.3%","73","6","7","26","15","3","1","1","61"
"36","Robbie Chosen (MIA)","14","50","752","15.0","567","11.3","567","11.3","185","3.7","33","0.7","1","94","18.6%","53","2","9","30","10","5","2","1","76"
"37","A.J. Green (FA)","9","46","694","15.1","531","11.5","531","11.5","163","3.5","65","1.4","1","77","14.6%","52","5","8","31","12","6","0","0","38"
"38","DJ Moore (CHI)","16","55","788","14.3","367","6.7","367","6.7","421","7.7","218","4.0","9","82","15.1%","60","3","2","31","9","5","3","2","82"
"39","John Brown (FA)","16","42","715","17.0","559","13.3","559","13.3","156","3.7","46","1.1","1","97","18.0%","48","6","5","26","11","5","4","2","71"
"40","Nelson Agholor (BAL)","16","64","736","11.5","386","6.0","386","6.0","350","5.5","76","1.2","3","97","16.4%","68","3","7","23","10","8","5","4","83"
"41","Allen Robinson II (PIT)","13","55","754","13.7","538","9.8","538","9.8","216","3.9","139","2.5","5","94","18.7%","59","3","4","30","11","7","1","0","43"
"42","Curtis Samuel (WAS)","13","39","494","12.7","383","9.8","383","9.8","111","2.8","36","0.9","4","65","11.9%","42","2","8","21","6","3","1","1","53"
"43","Demaryius Thomas (FA)","15","59","677","11.5","400","6.8","400","6.8","277","4.7","97","1.6","2","89","15.8%","66","6","6","32","9","4","2","0","45"
"44","Josh Gordon (FA)","12","41","737","18.0","473","11.5","473","11.5","264","6.4","191","4.7","6","71","12.7%","45","4","3","32","12","4","3","2","55"
"45","Kenny Stills (FA)","15","37","553","14.9","422","11.4","422","11.4","131","3.5","60","1.6","1","64","14.7%","40","3","3","24","7","4","2","1","75"
"46","Tyrell Williams (FA)","16","41","653","15.9","458","11.2","458","11.2","195","4.8","53","1.3","0","65","12.8%","43","2","3","24","11","5","4","1","75"
"47","Cooper Kupp (LAR)","8","40","566","14.2","263","6.6","263","6.6","303","7.6","68","1.7","2","55","10.1%","41","1","5","24","9","3","3","2","70"
"48","Courtland Sutton (DEN)","16","42","704","16.8","541","12.9","541","12.9","163","3.9","82","2.0","5","84","14.9%","55","7","5","28","16","6","3","0","42"
"49","Jordy Nelson (FA)","15","63","739","11.7","498","7.9","498","7.9","241","3.8","61","1.0","2","88","16.6%","67","3","3","28","7","3","3","2","66"
